batch_size,seqlen_q,seqlen_k,standard_ms,localized_ms,speedup,kv_gib_per_layout,owner_batch_counts,owner_tile_counts,owner_wave_counts,localized_theoretical_active_cluster_fraction
2,128,512,0.047200001776218414,0.0488319993019104,0.9665793424593996,0.0010986328125,"[1, 1]","[128, 128]","[4, 4]",1.0
4,128,512,0.07790399715304375,0.08574399724602699,0.908565026768139,0.002197265625,"[2, 2]","[256, 256]","[8, 7]",1.0
8,128,512,0.1531039997935295,0.1616479977965355,0.9471444241842066,0.00439453125,"[4, 4]","[512, 512]","[15, 14]",1.0
16,128,512,0.30716800689697266,0.32334399223327637,0.9499728285514779,0.0087890625,"[8, 8]","[1024, 1024]","[30, 27]",1.0
32,128,512,0.6123040020465851,0.6256319880485535,0.9786967638219067,0.017578125,"[15, 17]","[1920, 2176]","[55, 56]",1.0
64,128,512,1.2328959703445435,1.2651520371437073,0.9745041972409993,0.03515625,"[30, 34]","[3840, 4352]","[110, 112]",1.0
2,128,1024,0.06972800195217133,0.07145600020885468,0.9758173106298605,0.002197265625,"[1, 1]","[128, 128]","[4, 4]",1.0
4,128,1024,0.1270880028605461,0.13708800077438354,0.9270541706250774,0.00439453125,"[2, 2]","[256, 256]","[8, 7]",1.0
8,128,1024,0.25411200523376465,0.2640640139579773,0.9623121357013213,0.0087890625,"[4, 4]","[512, 512]","[15, 14]",1.0
16,128,1024,0.5101119875907898,0.5324319899082184,0.9580791486227638,0.017578125,"[8, 8]","[1024, 1024]","[30, 27]",1.0
32,128,1024,1.0209280252456665,1.0465279817581177,0.9755382015973959,0.03515625,"[15, 17]","[1920, 2176]","[55, 56]",1.0
64,128,1024,2.0869439840316772,2.092079997062683,0.9975450207266372,0.0703125,"[30, 34]","[3840, 4352]","[110, 112]",1.0
2,128,2048,0.12147199735045433,0.12278400361537933,0.9893145179641245,0.00439453125,"[1, 1]","[128, 128]","[4, 4]",1.0
4,128,2048,0.2274399995803833,0.2436479926109314,0.9334778306323673,0.0087890625,"[2, 2]","[256, 256]","[8, 7]",1.0
8,128,2048,0.4567680060863495,0.47300800681114197,0.965666541599841,0.017578125,"[4, 4]","[512, 512]","[15, 14]",1.0
16,128,2048,0.9190239906311035,0.9553439915180206,0.9619822794622852,0.03515625,"[8, 8]","[1024, 1024]","[30, 27]",1.0
32,128,2048,1.8462640345096588,1.874895989894867,0.9847287766683988,0.0703125,"[15, 17]","[1920, 2176]","[55, 56]",1.0
64,128,2048,3.715496063232422,3.7837679386138916,0.9819566430898826,0.140625,"[30, 34]","[3840, 4352]","[110, 112]",1.0
2,128,4096,0.22735999524593353,0.22870399802923203,0.9941233962026028,0.0087890625,"[1, 1]","[128, 128]","[4, 4]",1.0
4,128,4096,0.42550399899482727,0.460207998752594,0.9245906202155703,0.017578125,"[2, 2]","[256, 256]","[8, 7]",1.0
8,128,4096,0.8494400084018707,0.8979840278625488,0.945941110360029,0.03515625,"[4, 4]","[512, 512]","[15, 14]",1.0
16,128,4096,1.723583996295929,1.79694402217865,0.9591751189924226,0.0703125,"[8, 8]","[1024, 1024]","[30, 27]",1.0
32,128,4096,3.4712719917297363,3.4959360361099243,0.9929449383153953,0.140625,"[15, 17]","[1920, 2176]","[55, 56]",1.0
64,128,4096,7.001136064529419,6.972895860671997,1.0040499965038485,0.28125,"[30, 34]","[3840, 4352]","[110, 112]",1.0
2,128,8192,0.43833599984645844,0.4402239918708801,0.9957112922982729,0.017578125,"[1, 1]","[128, 128]","[4, 4]",1.0
4,128,8192,0.8363919854164124,0.8744160234928131,0.9565149344764801,0.03515625,"[2, 2]","[256, 256]","[8, 7]",1.0
