batch_size,seqlen_q,seqlen_k,standard_ms,localized_ms,speedup,kv_gib_per_layout,owner_batch_counts,owner_tile_counts,owner_wave_counts,localized_theoretical_active_cluster_fraction
64,128,65536,102.02223205566406,103.39995193481445,0.9866758170253412,4.5,"[32, 32]","[4096, 4096]","[111, 111]",1.0
2,128,131072,6.58788800239563,6.704095840454102,0.982666143082674,0.28125,"[1, 1]","[128, 128]","[4, 4]",1.0
4,128,131072,12.595207929611206,12.596943855285645,0.9998621946962389,0.5625,"[2, 2]","[256, 256]","[7, 7]",1.0
8,128,131072,25.16094398498535,25.692255973815918,0.9793201504230672,1.125,"[4, 4]","[512, 512]","[14, 14]",1.0
16,128,131072,50.55692768096924,51.5759916305542,0.9802415054491893,2.25,"[8, 8]","[1024, 1024]","[28, 28]",1.0
32,128,131072,102.0497932434082,104.00617599487305,0.9811897444286262,4.5,"[16, 16]","[2048, 2048]","[56, 56]",1.0
64,128,131072,202.58306884765625,206.53023529052734,0.980888190838893,9.0,"[32, 32]","[4096, 4096]","[111, 111]",1.0
2,128,262144,13.295888185501099,13.390807867050171,0.9929115791600122,0.5625,"[1, 1]","[128, 128]","[4, 4]",1.0
4,128,262144,25.127967834472656,25.402751922607422,0.9891829007750055,1.125,"[2, 2]","[256, 256]","[7, 7]",1.0
8,128,262144,50.31269550323486,51.27359199523926,0.9812594270342204,2.25,"[4, 4]","[512, 512]","[14, 14]",1.0
16,128,262144,100.41679954528809,101.85929870605469,0.9858383163924056,4.5,"[8, 8]","[1024, 1024]","[28, 28]",1.0
32,128,262144,202.02442932128906,205.21646881103516,0.984445500362423,9.0,"[16, 16]","[2048, 2048]","[56, 56]",1.0
64,128,262144,405.1210174560547,407.7582092285156,0.9935324618541695,18.0,"[32, 32]","[4096, 4096]","[111, 111]",1.0
2,128,524288,26.47863245010376,27.025384426116943,0.979768947320327,1.125,"[1, 1]","[128, 128]","[4, 4]",1.0
4,128,524288,49.99623966217041,50.521888732910156,0.9895956171884497,2.25,"[2, 2]","[256, 256]","[7, 7]",1.0
8,128,524288,101.12409591674805,100.86190223693848,1.0025995313789902,4.5,"[4, 4]","[512, 512]","[14, 14]",1.0
16,128,524288,202.5155029296875,203.36507415771484,0.9958224329740687,9.0,"[8, 8]","[1024, 1024]","[28, 28]",1.0
32,128,524288,406.3728332519531,407.12459564208984,0.9981534832378498,18.0,"[16, 16]","[2048, 2048]","[56, 56]",1.0
64,128,524288,815.320556640625,812.5983276367188,1.003350030281041,36.0,"[32, 32]","[4096, 4096]","[111, 111]",1.0
2,128,1008576,51.46473693847656,52.14403247833252,0.9869727079481583,2.1641693115234375,"[1, 1]","[128, 128]","[4, 4]",1.0
4,128,1008576,96.98970413208008,97.38650512695312,0.9959255032886151,4.328338623046875,"[2, 2]","[256, 256]","[7, 7]",1.0
8,128,1008576,194.58823013305664,195.0410385131836,0.9976783943339373,8.65667724609375,"[4, 4]","[512, 512]","[14, 14]",1.0
16,128,1008576,391.4028778076172,390.54805755615234,1.0021887709717823,17.3133544921875,"[8, 8]","[1024, 1024]","[28, 28]",1.0
32,128,1008576,782.9638671875,783.4468383789062,0.9993835303587342,34.626708984375,"[16, 16]","[2048, 2048]","[56, 56]",1.0
64,128,1008576,1580.4696655273438,1560.08251953125,1.0130679920714831,69.25341796875,"[32, 32]","[4096, 4096]","[111, 111]",1.0
