seqlen_q,batch_size,seqlen_k,split_kv,standard_ms,localized_ms,speedup,owner_work_counts,owner_tile_counts,resident_partition_clusters,correctness
1,4,8192,18,0.028672000393271446,0.02864000014960766,1.0011173269377314,"[36, 36]","[36, 36]","[35, 39]","{'output_exact': True, 'lse_exact': True, 'output_max_abs': 0.0, 'lse_max_abs': 0.0}"
1,8,8192,9,0.036896001547575,0.03488000109791756,1.057798176209857,"[36, 36]","[36, 36]","[35, 39]","{'output_exact': True, 'lse_exact': True, 'output_max_abs': 0.0, 'lse_max_abs': 0.0}"
1,16,8192,4,0.055296000093221664,0.05321599915623665,1.0390860074031185,"[32, 32]","[32, 32]","[35, 39]","{'output_exact': True, 'lse_exact': True, 'output_max_abs': 0.0, 'lse_max_abs': 0.0}"
1,32,8192,2,0.08712000027298927,0.08396799862384796,1.0375381300114268,"[32, 32]","[32, 32]","[35, 39]","{'output_exact': True, 'lse_exact': True, 'output_max_abs': 0.0, 'lse_max_abs': 0.0}"
1,64,8192,1,0.14137599617242813,0.13494400680065155,1.0476641351051503,"[32, 32]","[32, 32]","[35, 39]","{'output_exact': True, 'lse_exact': True, 'output_max_abs': 0.0, 'lse_max_abs': 0.0}"
1,2,16384,32,0.028704000636935234,0.028704000636935234,1.0,"[32, 32]","[32, 32]","[35, 39]","{'output_exact': True, 'lse_exact': True, 'output_max_abs': 0.0, 'lse_max_abs': 0.0}"
1,4,16384,18,0.036928001791238785,0.036896001547575,1.0008673092563303,"[36, 36]","[36, 36]","[35, 39]","{'output_exact': True, 'lse_exact': True, 'output_max_abs': 0.0, 'lse_max_abs': 0.0}"
1,8,16384,9,0.05331199988722801,0.06345599889755249,0.8401412130206695,"[36, 36]","[36, 36]","[35, 39]","{'output_exact': True, 'lse_exact': True, 'output_max_abs': 0.0, 'lse_max_abs': 0.0}"
1,16,16384,4,0.08551999926567078,0.08195199817419052,1.0435376948820259,"[32, 32]","[32, 32]","[35, 39]","{'output_exact': True, 'lse_exact': True, 'output_max_abs': 0.0, 'lse_max_abs': 0.0}"
1,32,16384,2,0.14846400171518326,0.1403840035200119,1.0575564023861133,"[32, 32]","[32, 32]","[35, 39]","{'output_exact': True, 'lse_exact': True, 'output_max_abs': 0.0, 'lse_max_abs': 0.0}"
1,64,16384,1,0.27246400713920593,0.2558720111846924,1.0648449038161396,"[32, 32]","[32, 32]","[35, 39]","{'output_exact': True, 'lse_exact': True, 'output_max_abs': 0.0, 'lse_max_abs': 0.0}"
1,2,32768,32,0.03891199827194214,0.036896001547575,1.0546399783122202,"[32, 32]","[32, 32]","[35, 39]","{'output_exact': True, 'lse_exact': True, 'output_max_abs': 0.0, 'lse_max_abs': 0.0}"
1,4,32768,18,0.05532800033688545,0.055296000093221664,1.0005787081092636,"[36, 36]","[36, 36]","[35, 39]","{'output_exact': True, 'lse_exact': True, 'output_max_abs': 0.0, 'lse_max_abs': 0.0}"
1,8,32768,9,0.08390399813652039,0.10646399855613708,0.7880973782163451,"[36, 36]","[36, 36]","[35, 39]","{'output_exact': True, 'lse_exact': True, 'output_max_abs': 0.0, 'lse_max_abs': 0.0}"
1,16,32768,4,0.1464800015091896,0.13920000195503235,1.052298846637294,"[32, 32]","[32, 32]","[35, 39]","{'output_exact': True, 'lse_exact': True, 'output_max_abs': 0.0, 'lse_max_abs': 0.0}"
1,32,32768,2,0.27963200211524963,0.26311999559402466,1.0627546625027382,"[32, 32]","[32, 32]","[35, 39]","{'output_exact': True, 'lse_exact': True, 'output_max_abs': 0.0, 'lse_max_abs': 0.0}"
1,64,32768,1,0.5474559962749481,0.5098399817943573,1.0737800404515219,"[32, 32]","[32, 32]","[35, 39]","{'output_exact': True, 'lse_exact': True, 'output_max_abs': 0.0, 'lse_max_abs': 0.0}"
1,2,65536,32,0.05532800033688545,0.05329599976539612,1.0381266995728387,"[32, 32]","[32, 32]","[35, 39]","{'output_exact': True, 'lse_exact': True, 'output_max_abs': 0.0, 'lse_max_abs': 0.0}"
1,4,65536,18,0.08403199911117554,0.10043199732899666,0.836705445933752,"[36, 36]","[36, 36]","[35, 39]","{'output_exact': True, 'lse_exact': True, 'output_max_abs': 0.0, 'lse_max_abs': 0.0}"
1,8,65536,9,0.14022399485111237,0.19251200556755066,0.7283909096355504,"[36, 36]","[36, 36]","[35, 39]","{'output_exact': True, 'lse_exact': True, 'output_max_abs': 0.0, 'lse_max_abs': 0.0}"
1,16,65536,4,0.2794719934463501,0.2611519992351532,1.0701506948629589,"[32, 32]","[32, 32]","[35, 39]","{'output_exact': True, 'lse_exact': True, 'output_max_abs': 0.0, 'lse_max_abs': 0.0}"
1,32,65536,2,0.5521920025348663,0.5144320130348206,1.0734013213471805,"[32, 32]","[32, 32]","[35, 39]","{'output_exact': True, 'lse_exact': True, 'output_max_abs': 0.0, 'lse_max_abs': 0.0}"
1,64,65536,1,1.1253680288791656,1.025488018989563,1.0973975395519655,"[32, 32]","[32, 32]","[35, 39]","{'output_exact': True, 'lse_exact': True, 'output_max_abs': 0.0, 'lse_max_abs': 0.0}"
1,2,131072,32,0.08604799956083298,0.0820159986615181,1.0491611510573082,"[32, 32]","[32, 32]","[35, 39]","{'output_exact': True, 'lse_exact': True, 'output_max_abs': 0.0, 'lse_max_abs': 0.0}"
1,4,131072,18,0.14035199582576752,0.19151999801397324,0.7328320660045511,"[36, 36]","[36, 36]","[35, 39]","{'output_exact': True, 'lse_exact': True, 'output_max_abs': 0.0, 'lse_max_abs': 0.0}"
1,8,131072,9,0.26523199677467346,0.36451999843120575,0.7276198779659808,"[36, 36]","[36, 36]","[35, 39]","{'output_exact': True, 'lse_exact': True, 'output_max_abs': 0.0, 'lse_max_abs': 0.0}"
1,16,131072,4,0.5545760095119476,0.5143679976463318,1.0781697384938438,"[32, 32]","[32, 32]","[35, 39]","{'output_exact': True, 'lse_exact': True, 'output_max_abs': 0.0, 'lse_max_abs': 0.0}"
1,32,131072,2,1.106880009174347,1.0331519842147827,1.0713622255834887,"[32, 32]","[32, 32]","[35, 39]","{'output_exact': True, 'lse_exact': True, 'output_max_abs': 0.0, 'lse_max_abs': 0.0}"
1,64,131072,1,2.260464072227478,2.0572479963302612,1.0987805438428986,"[32, 32]","[32, 32]","[35, 39]","{'output_exact': True, 'lse_exact': True, 'output_max_abs': 0.0, 'lse_max_abs': 0.0}"
1,2,262144,32,0.1475840061903,0.1393599957227707,1.0590127060845305,"[32, 32]","[32, 32]","[35, 39]","{'output_exact': True, 'lse_exact': True, 'output_max_abs': 0.0, 'lse_max_abs': 0.0}"
