sq,batch,sk,kv_bytes,compact_physical_span,baseline_ms,schedule_only_ms,compact_ms,compact_vs_baseline,schedule_vs_baseline,compact_vs_schedule
128,2,262144,603979776,603979776,31.527567386627197,31.13982391357422,32.529279708862305,0.9692058252995316,1.0124516912532686,0.9572859956407352
128,2,524288,1207959552,1207959552,63.1376314163208,62.329423904418945,64.9561767578125,0.9720035040197624,1.0129667091603674,0.9595611536191956
128,2,932032,2147401728,2147401728,112.40041732788086,110.75255393981934,115.63932037353516,0.9719913344769575,1.0148787845466474,0.9577413079052115
128,4,512,2359296,2359296,0.1598079949617386,0.16344000399112701,0.1696239970624447,0.9421308171561805,0.9777777230745441,0.9635429350893016
128,4,1024,4718592,4718592,0.2820799946784973,0.28433600068092346,0.29583999514579773,0.9534883697502796,0.9920657039663514,0.9611141338100523
128,4,2048,9437184,9437184,0.5310079753398895,0.5313839763402939,0.5535200089216232,0.9593293228449103,0.9992924118581935,0.9600086135558945
128,4,4096,18874368,18874368,1.029856026172638,1.020695984363556,1.0752559900283813,0.9577775299307609,1.0089743096371577,0.9492585894235425
128,4,8192,37748736,37748736,2.021615982055664,2.0076799988746643,2.1081440448760986,0.958955336552669,1.0069413368608597,0.9523447905537504
128,4,16384,75497472,75497472,3.983952045440674,3.965391993522644,4.176952123641968,0.9537940410882628,1.0046805087487813,0.9493505973118839
128,4,32768,150994944,150994944,7.915168046951294,7.878463983535767,8.320720195770264,0.9512599703779094,1.0046587841858807,0.9468488061334748
128,4,65536,301989888,301989888,15.795392036437988,15.683319807052612,16.481167793273926,0.9583903419079437,1.007145950651021,0.9515903244097229
128,4,131072,603979776,603979776,31.635255336761475,31.238183975219727,32.81270408630371,0.9641160708228947,1.012711089795,0.9520149236422973
128,4,262144,1207959552,1207959552,63.0898323059082,62.45979976654053,65.23641777038574,0.9670952891369216,1.010087008631513,0.9574376077236775
128,4,524288,2415919104,2415919104,126.74012756347656,124.80921745300293,130.28985595703125,0.9727551437717041,1.0154708934955121,0.9579350329020565
128,4,932032,4294803456,4294803456,225.72092056274414,221.67515182495117,231.8517837524414,0.9735569720859104,1.0182508896666405,0.9561071656953207
128,8,512,4718592,4718592,0.3179679960012436,0.32308800518512726,0.3348719999194145,0.9495209993005124,0.984152896109684,0.9648104507479782
128,8,1024,9437184,9437184,0.5653440058231354,0.5694639831781387,0.5917919874191284,0.9553086520969375,0.9927651660566661,0.9622705195141884
128,8,2048,18874368,18874368,1.0666640102863312,1.0625759959220886,1.1143839955329895,0.957178149149715,1.0038472677530186,0.9535097418676387
128,8,4096,37748736,37748736,2.0703680515289307,2.0529839992523193,2.1557600498199463,0.9603889132753213,1.0084676998373794,0.9523249117747539
128,8,8192,75497472,75497472,4.060920000076294,4.02782416343689,4.230535984039307,0.9599067388617119,1.00821680274423,0.9520836552703499
128,8,16384,150994944,150994944,8.023255825042725,7.926463961601257,8.364352226257324,0.9592202250708869,1.0122112286021059,0.9476482753462425
128,8,32768,301989888,301989888,15.812384128570557,15.740776062011719,16.625216484069824,0.9511084648865704,1.0045492081379428,0.9468012688493067
128,8,65536,603979776,603979776,31.566720008850098,31.371631622314453,33.016767501831055,0.9560814821468958,1.0062186241660724,0.9501727151385924
128,8,131072,1207959552,1207959552,63.319607734680176,62.65454292297363,65.92624092102051,0.9604613709211318,1.0106147899366875,0.9503733573712119
128,8,262144,2415919104,2415919104,126.82208061218262,125.18452644348145,130.7851791381836,0.9696976480659656,1.0130811228450067,0.9571767020421735
128,8,524288,4831838208,4831838208,254.38776016235352,249.17319869995117,260.99461364746094,0.9746858626974132,1.020927457245037,0.9547062876804133
128,8,932032,8589606912,8589606912,451.7728576660156,443.64612579345703,464.5657272338867,0.9724627349416362,1.0183180499052573,0.9549695549755919
128,16,512,9437184,9437184,0.6327920109033585,0.6379919946193695,0.6663520038127899,0.9496362392288085,0.9918494530341037,0.9574398980851747
128,16,1024,18874368,18874368,1.129855990409851,1.1324639916419983,1.1859039664268494,0.9527381831887519,0.9976970559316718,0.954937350495701
128,16,2048,37748736,37748736,2.13591992855072,2.1240960359573364,2.219576060771942,0.9623098601125986,1.0055665527326567,0.9569827650865008
128,16,4096,75497472,75497472,4.12990403175354,4.105752110481262,4.304143905639648,0.9595181114511983,1.0058824596864049,0.9539067931956372
128,16,8192,150994944,150994944,8.15998363494873,8.087279796600342,8.500495910644531,0.9599420693480479,1.0089899002108165,0.951389175597773
128,16,16384,301989888,301989888,15.89518404006958,15.92572808265686,16.763360023498535,0.9482099064738833,0.9980820944305496,0.9500319780958293
128,16,32768,603979776,603979776,31.629279613494873,31.531119346618652,33.36771202087402,0.9479007608825073,1.00311312344472,0.9449589869060713
128,16,65536,1207959552,1207959552,63.25290393829346,62.76697540283203,66.25549507141113,0.9546816285972742,1.007741786701411,0.9473474665788985
128,16,131072,2415919104,2415919104,126.80467987060547,125.5424633026123,131.76530838012695,0.9623525450628425,1.0100541006985873,0.9527732666965535
128,16,262144,4831838208,4831838208,254.4899444580078,250.17638778686523,261.9639892578125,0.9714691900173764,1.0172420615282745,0.9550029700481218
128,16,524288,9663676416,9663676416,508.9564437866211,500.6188735961914,523.6533508300781,0.9719339005084948,1.0166545262877063,0.9560119739568682
128,16,932032,17179213824,17179213824,905.2394256591797,889.6206970214844,931.4590301513672,0.9718510383780093,1.0175566156340428,0.955083013019817
128,32,512,18874368,18874368,1.259119987487793,1.2665200233459473,1.3182079792022705,0.9551755165749828,0.994157189999567,0.9607892254698664
128,32,1024,37748736,37748736,2.2479039430618286,2.244391977787018,2.3428800106048584,0.9594618302631256,1.0015647735821411,0.9579628353257348
128,32,2048,75497472,75497472,4.220255970954895,4.208119988441467,4.400112152099609,0.9591246370711501,1.0028839440288684,0.9563665295289056
128,32,4096,150994944,150994944,8.188752174377441,8.08619213104248,8.526768207550049,0.9603582477035895,1.0126833547450893,0.9483302388685247
128,32,8192,301989888,301989888,16.104983806610107,15.962183952331543,16.748831748962402,0.9615586357303887,1.0089461351093945,0.9530326766414862
128,32,16384,603979776,603979776,31.608744144439697,31.38926410675049,33.14633560180664,0.953612022884269,1.0069922008028855,0.9469904753223948
128,32,32768,1207959552,1207959552,62.82932758331299,62.33615970611572,65.8289966583252,0.954432404756501,1.0079114253993557,0.9469407536265746
