seqlen_q,batch_size,seqlen_k,standard_ncu_duration_ns,localized_ncu_duration_ns,standard_l2_hit_rate_pct,localized_l2_hit_rate_pct,localized_minus_standard_l2_hit_rate_pp,standard_l2_count_hit_rate_pct,localized_l2_count_hit_rate_pct,standard_hbm_read_bytes,standard_hbm_write_bytes,localized_hbm_read_bytes,localized_hbm_write_bytes,standard_hbm_total_gb_s,localized_hbm_total_gb_s,localized_to_standard_hbm_bandwidth_ratio,standard_hbm_utilization_pct,localized_hbm_utilization_pct,localized_minus_standard_hbm_utilization_pp,localized_to_standard_hbm_total_bytes_ratio,standard_to_localized_ncu_duration_ratio,standard_replay_passes,localized_replay_passes
1,2,512,11712.0,14720.0,58.29,63.95,5.660000000000004,58.2599852854507,64.21230312131897,1552128.0,0.0,1569280.0,0.0,132.52459016393,106.60869565217,0.8044446356732543,1.73,1.39,-0.3400000000000001,1.0110506349991752,0.7956521739130434,4,4
1,4,512,12192.0,15488.0,55.58,64.34,8.760000000000005,55.42541227415575,63.65703185039706,3026176.0,0.0,3045632.0,0.0,248.20997375328,196.64462809917,0.7922511135456394,3.24,2.57,-0.6700000000000004,1.0064292361052365,0.7871900826446281,4,4
1,8,512,12416.0,15488.0,52.4,62.4,10.0,52.48909286907279,62.59067240591451,5975552.0,0.0,5994240.0,0.0,481.27835051546003,387.02479338843,0.804159989689787,6.29,5.05,-1.2400000000000002,1.00312740981921,0.8016528925619835,4,4
1,16,512,12640.0,15008.0,51.7,60.39,8.689999999999998,51.79010387177559,60.581501668029205,11874304.0,0.0,11891456.0,0.0,939.42278481013,792.3411513859301,0.8434340365143186,12.29,10.35,-1.9399999999999995,1.0014444636081408,0.8422174840085288,4,4
1,32,512,15488.0,18880.0,47.5,55.03,7.530000000000001,47.49540519868948,54.84021882856204,23672064.0,0.0,23694080.0,0.0,1528.4132231405,1254.98305084746,0.8211019322829395,19.99,16.4,-3.59,1.0009300414192865,0.8203389830508474,4,4
1,64,512,19744.0,24256.0,37.15,43.48,6.329999999999998,37.15931751097045,43.48205287286575,47267840.0,8704.0,47289600.0,0.0,2394.47649918962,1949.6042216358799,0.8142089606207029,31.27,25.44,-5.829999999999998,1.000276162318464,0.8139841688654353,4,4
1,2,1024,11488.0,15136.0,58.21,65.05,6.839999999999996,58.27157807613709,64.13377608887379,2731520.0,0.0,2748416.0,0.0,237.77158774373,181.58139534884,0.7636799546653499,3.11,2.37,-0.7399999999999998,1.0061855670103093,0.758985200845666,4,4
1,4,1024,12480.0,15392.0,55.86,63.2,7.340000000000003,55.9450061027566,63.08315410252575,5385216.0,0.0,5404928.0,0.0,431.50769230769,351.15176715177,0.8137786959806466,5.64,4.58,-1.0599999999999996,1.0036603917094504,0.8108108108108109,4,4
1,8,1024,13184.0,16000.0,56.31,64.02,7.709999999999994,55.612181168652725,62.32199223511919,10694400.0,0.0,10713344.0,0.0,811.16504854369,669.584,0.825459628964691,10.61,8.75,-1.8599999999999994,1.001771394374626,0.824,4,4
1,16,1024,15360.0,18912.0,49.92,59.08,9.159999999999997,49.82681607590167,59.03241954006066,21312512.0,768.0,21334272.0,0.0,1387.58333333333,1128.0812182741101,0.8129826808773859,18.14,14.75,-3.3900000000000006,1.0009849258302805,0.8121827411167513,4,4
1,32,1024,19136.0,22144.0,43.83,52.47,8.64,43.89427410100862,52.47109784802586,42547456.0,133376.0,42568704.0,256.0,2230.3946488294296,1922.3699421965298,0.8618967693477209,29.14,25.11,-4.030000000000001,0.9973788702150886,0.8641618497109826,4,4
1,64,1024,27264.0,30208.0,37.18,44.89,7.710000000000001,37.18117461785405,44.880893016025254,85021952.0,2902528.0,85042176.0,211968.0,3224.92957746479,2822.23728813559,0.8751314471661215,42.11,36.83,-5.280000000000001,0.9696292090666899,0.902542372881356,4,4
1,2,2048,11904.0,14592.0,58.57,63.82,5.25,57.109729993615986,63.69359769456549,5090816.0,0.0,5108224.0,0.0,427.65591397849,350.07017543859996,0.8185790585283654,5.59,4.58,-1.0099999999999998,1.0034194910992658,0.8157894736842105,4,4
1,4,2048,13472.0,16352.0,57.39,61.1,3.710000000000001,57.41416351198856,61.94787162509379,10104320.0,0.0,10123520.0,0.0,750.02375296912,619.09980430528,0.82544026353092,9.8,8.1,-1.700000000000001,1.001900177349886,0.8238747553816047,4,4
1,8,2048,16320.0,20160.0,52.15,59.25,7.100000000000001,52.03257059664536,59.15163407525366,20133120.0,256.0,20156160.0,0.0,1233.66274509804,999.80952380952,0.8104399097583712,16.11,13.08,-3.0299999999999994,1.0011316532309336,0.8095238095238095,4,4
1,16,2048,19040.0,22176.0,45.28,55.11,9.829999999999998,45.285451744829146,55.127070241402784,40189184.0,126976.0,40210176.0,0.0,2117.4453781512702,1813.22943722944,0.8563287893700288,27.64,23.69,-3.9499999999999993,0.9973711782074484,0.8585858585858586,4,4
1,32,2048,25952.0,28288.0,41.14,50.35,9.21,41.143661763114345,50.347534150731825,80303104.0,2662912.0,80321536.0,1186048.0,3196.90258939581,2881.34841628959,0.901293779124544,41.75,37.64,-4.109999999999999,0.9824213326092457,0.917420814479638,4,4
1,64,2048,41056.0,42560.0,37.2,45.83,8.629999999999995,37.198176119432205,45.825506134891214,160541696.0,3774720.0,160562176.0,3804928.0,4002.25097427903,3862.00902255639,0.9649592310367534,52.2,50.41,-1.7900000000000063,1.0003084780038045,0.9646616541353383,4,4
1,2,4096,13152.0,15392.0,55.3,62.38,7.080000000000005,55.7646952729386,62.94632224632231,9809408.0,0.0,9827584.0,0.0,745.84914841849,638.48648648649,0.8560531145478232,9.75,8.35,-1.4000000000000004,1.0018529150790751,0.8544698544698545,4,4
1,4,4096,16224.0,20576.0,53.62,59.08,5.460000000000001,53.34941859448773,59.322504459568314,19542784.0,0.0,19566080.0,0.0,1204.56015779093,950.9175738724699,0.7894313685556221,15.75,12.42,-3.33,1.001192051245104,0.7884914463452566,4,4
1,8,4096,19456.0,22944.0,46.68,55.12,8.439999999999998,46.67002203904299,55.12207351992964,39008256.0,111616.0,39031552.0,0.0,2010.6842105263102,1701.1659693166,0.8460632258465433,26.26,22.22,-4.040000000000003,0.9977423239012643,0.8479776847977685,4,4
1,16,4096,26272.0,28128.0,41.89,51.96,10.07,41.89126707623103,51.964120039729046,77944320.0,3242496.0,77960448.0,656128.0,3090.2411693057197,2794.9579067121804,0.9044465313819244,40.35,36.49,-3.8599999999999994,0.9683416578376469,0.9340159271899886,4,4
1,32,4096,40544.0,41344.0,39.38,48.9,9.519999999999996,39.38382141868749,48.900556395552066,155812096.0,3253248.0,155827200.0,3234560.0,3923.2770323599,3847.27554179567,0.9806280591614214,51.16,50.19,-0.9699999999999989,0.9999774683792845,0.9806501547987616,4,4
1,64,4096,67104.0,68320.0,37.11,46.4,9.29,37.210317290423724,46.39820720240901,311552000.0,3658752.0,311557120.0,3315456.0,4697.346685741531,4608.7906323185,0.9811476436917385,61.27,60.12,-1.1500000000000057,0.9989271431959276,0.9822014051522249,4,4
1,2,8192,15552.0,19232.0,52.48,60.6,8.120000000000005,52.92758784815113,60.19846359856226,19249152.0,0.0,19269888.0,0.0,1237.72839506173,1001.97004991681,0.8095233606294038,16.18,13.08,-3.0999999999999996,1.0010772422598149,0.8086522462562395,4,4
1,4,8192,19584.0,23040.0,47.61,55.77,8.160000000000004,47.476770229168444,55.324621912687135,38418176.0,72448.0,38441472.0,0.0,1965.41176470588,1668.4666666666699,0.8489145616345452,25.7,21.78,-3.919999999999998,0.998723013687697,0.85,4,4
1,8,8192,26176.0,29632.0,42.9,52.58,9.68,42.82801664991443,52.21368005942235,76770560.0,2894336.0,76782848.0,612864.0,3043.43276283618,2611.8963282937398,0.8582073375130882,39.74,34.1,-5.640000000000001,0.9715158857421969,0.8833693304535637,4,4
1,16,8192,39744.0,41184.0,39.78,49.79,10.009999999999998,39.78649958242388,49.79477435167981,153448192.0,3137792.0,153466624.0,3224320.0,3939.86473429952,3804.65578865579,0.9656818305291972,51.44,49.64,-1.7999999999999972,1.0006703026498207,0.965034965034965,4,4
1,32,8192,67456.0,66816.0,38.31,48.03,9.719999999999999,38.344735660285764,48.0376776552744,306816512.0,3220480.0,306836736.0,3301376.0,4596.13662239089,4641.6743295019105,1.0099078227764544,59.96,60.54,0.5799999999999983,1.0003261546286708,1.0095785440613028,4,4
1,64,8192,121056.0,117312.0,36.98,46.71,9.730000000000004,37.16449095514167,46.71688501852426,613599232.0,3245568.0,613580288.0,3375360.0,5095.53264604811,5259.100927441351,1.0321003303786302,66.43,68.57,2.1399999999999864,1.000179701604034,1.0319148936170213,4,4
1,2,16384,18848.0,21952.0,47.49,55.79,8.299999999999997,47.500402312367704,55.70076538838852,38123520.0,64000.0,38145280.0,0.0,2026.07809847199,1737.66763848397,0.8576508673552461,26.45,22.7,-3.75,0.9988938794663806,0.858600583090379,4,4
